start_ver,end_ver,num
105,27,3819
27,224,3780
27,105,3738
314,473,3711
27,310,3214
27,380,3143
27,314,3067
335,27,3044
27,582,2889
27,80,2875
314,27,2700
473,314,2617
105,80,2554
105,314,2523
27,16,2493
335,105,2491
27,335,2450
314,224,2350
105,582,2343
473,582,2340
27,331,2313
27,9,2297
27,158,2290
105,380,2275
27,32,2274
27,230,2228
27,655,2174
314,105,2138
77,27,2115
335,582,2078
314,380,2062
582,473,2041
335,314,2031
27,473,2015
230,27,1956
313,473,1942
311,27,1934
105,224,1927
32,27,1927
77,105,1926
582,27,1883
9,27,1869
77,314,1864
27,334,1853
314,80,1849
27,353,1841
105,16,1833
224,27,1817
335,380,1811
588,473,1800
335,80,1797
77,224,1796
331,27,1777
27,10,1759
27,311,1728
27,379,1726
77,380,1726
314,32,1710
27,26,1702
27,302,1701
105,335,1692
27,558,1682
27,219,1682
380,27,1677
314,522,1669
27,27,1668
27,367,1657
77,331,1614
77,16,1611
314,33,1579
27,354,1579
77,84,1575
27,131,1572
314,335,1562
314,310,1557
27,397,1548
27,280,1548
77,353,1528
27,123,1525
27,443,1519
77,582,1518
314,10,1504
314,9,1489
27,68,1485
105,473,1476
314,302,1469
473,27,1467
27,33,1466
314,471,1460
27,529,1453
280,27,1441
314,16,1437
80,380,1428
582,105,1426
348,27,1421
10,27,1419
314,95,1398
335,331,1388
26,27,1384
314,331,1378
27,498,1378
27,522,1374
32,314,1363
105,367,1350
335,224,1338
27,95,1329
335,310,1320
314,6,1313
311,314,1305
105,230,1305
236,27,1300
314,582,1298
105,310,1293
107,27,1290
9,314,1285
105,302,1270
105,354,1270
27,31,1268
522,314,1262
310,27,1259
380,105,1253
353,27,1245
331,80,1244
582,380,1236
80,105,1235
313,27,1234
335,367,1232
314,311,1230
335,16,1220
27,348,1220
522,27,1214
380,314,1211
27,77,1207
33,27,1207
68,27,1201
16,27,1201
380,80,1199
335,9,1198
27,394,1197
27,347,1182
105,331,1181
582,224,1180
27,145,1178
77,10,1178
335,473,1177
105,123,1176
314,379,1174
77,310,1174
105,397,1174
311,380,1172
314,68,1171
311,582,1167
532,27,1164
473,48,1161
331,314,1159
27,170,1149
105,393,1143
596,27,1140
105,10,1134
27,471,1134
80,224,1132
473,302,1132
335,230,1131
313,105,1128
105,32,1127
224,80,1123
314,367,1122
27,586,1121
27,204,1103
522,80,1101
473,588,1100
314,31,1100
9,582,1097
9,380,1092
9,473,1086
77,397,1086
314,475,1079
48,473,1079
27,25,1076
335,10,1074
473,80,1071
105,219,1069
582,80,1068
9,105,1062
105,353,1061
27,15,1060
331,582,1060
27,393,1054
473,380,1053
314,354,1052
236,80,1050
77,230,1042
236,380,1042
311,224,1042
380,582,1042
27,107,1041
335,379,1039
77,9,1039
68,105,1037
27,48,1035
77,219,1034
331,380,1032
33,314,1031
77,473,1025
77,335,1024
68,314,1024
84,80,1022
27,243,1020
9,224,1020
335,397,1016
68,32,1016
77,394,1015
105,33,1015
335,123,1013
473,105,1011
588,27,1007
27,596,1006
582,310,1005
313,582,1003
27,532,1003
473,310,1001
77,367,1001
314,348,1000
314,558,998
27,6,997
105,9,995
314,97,995
32,68,993
473,230,993
27,663,991
80,27,990
313,380,990
27,84,984
443,27,980
27,50,980
105,77,979
335,302,976
105,522,975
27,588,973
582,335,972
473,224,971
596,380,971
224,314,971
582,331,969
380,224,967
367,27,967
27,236,964
105,68,963
311,80,962
314,48,962
479,473,960
663,27,959
224,380,957
130,27,949
314,295,949
107,80,947
224,105,946
27,313,942
77,243,941
558,27,941
27,295,941
582,302,940
27,265,938
314,230,935
105,379,934
335,32,930
522,582,928
582,9,926
123,27,922
105,311,921
314,663,920
105,334,918
224,582,918
473,313,916
310,314,916
313,80,908
380,379,907
335,393,903
6,27,902
77,443,900
105,588,898
10,582,898
10,380,896
302,27,896
313,224,896
3,27,896
314,353,896
313,310,896
26,353,893
596,80,892
311,473,890
582,16,888
380,16,886
27,141,883
230,380,880
314,3,879
314,219,879
16,80,879
582,10,878
68,310,878
674,27,877
80,10,874
84,380,871
32,582,869
335,219,869
27,609,869
77,379,868
105,84,867
314,689,866
313,9,863
27,11,863
230,473,862
314,397,861
230,105,860
582,471,859
473,123,857
236,105,856
582,123,855
77,596,855
10,80,854
311,331,847
105,394,847
27,562,845
27,535,845
6,314,843
522,105,843
473,9,839
10,314,838
77,609,838
27,3,837
311,367,837
582,32,834
379,27,834
302,314,833
535,380,832
27,674,832
331,310,826
145,27,825
335,588,823
380,84,823
105,131,823
335,522,823
479,582,821
16,380,821
9,80,820
77,311,819
310,582,817
302,105,817
107,380,817
105,48,816
380,10,814
77,522,813
27,497,811
582,314,807
77,107,806
27,14,806
353,80,806
32,105,804
479,314,804
311,105,803
77,498,802
105,498,802
77,393,801
68,582,801
16,314,800
335,353,799
10,224,797
105,95,795
302,582,794
582,354,794
3,314,793
582,379,793
314,347,793
77,123,793
32,473,792
105,313,787
27,463,786
380,310,786
105,443,784
302,473,781
380,367,781
27,689,781
562,27,781
230,314,781
27,250,777
314,77,777
522,380,776
353,655,775
230,582,774
335,347,772
27,614,769
131,27,769
77,586,768
582,311,767
27,638,766
77,529,766
26,158,765
473,473,764
280,158,764
331,105,764
588,471,763
380,331,762
105,236,761
105,11,760
529,27,760
311,16,760
27,511,759
588,105,757
314,307,757
335,68,756
314,463,749
335,394,746
331,16,745
588,224,745
335,3,745
588,380,744
27,514,744
105,3,744
313,302,744
614,27,743
367,105,743
380,397,743
32,16,743
397,27,743
380,473,742
380,311,742
77,250,742
380,394,741
313,335,741
105,558,741
27,264,740
314,196,739
314,393,739
335,33,739
313,16,738
27,97,738
9,16,737
473,31,737
9,353,736
331,335,736
313,10,734
9,354,734
314,145,733
331,224,730
27,723,729
313,32,727
77,236,727
3,473,726
33,582,725
80,582,725
314,314,724
331,393,724
380,9,723
335,311,723
9,32,722
473,479,722
107,105,721
314,131,721
27,164,719
314,334,715
77,302,715
313,379,714
582,522,714
16,105,712
335,48,709
473,335,709
313,471,708
532,655,708
353,380,707
77,11,707
27,114,707
473,16,706
84,27,706
236,529,706
532,80,705
354,27,705
582,367,704
32,224,703
105,107,703
314,15,703
331,230,702
77,354,702
380,335,702
313,33,701
77,280,701
27,307,701
314,638,700
522,473,700
380,393,699
204,27,699
335,313,696
314,123,695
348,473,695
335,95,694
313,522,694
123,380,694
105,6,693
105,471,691
6,20,691
26,243,691
105,596,691
335,498,690
9,335,689
3,105,689
582,353,689
331,397,689
230,224,689
32,302,687
588,310,685
9,331,683
397,105,683
236,397,681
313,331,680
105,250,679
224,10,679
397,80,679
33,473,678
501,27,677
26,80,676
105,655,676
10,105,674
77,334,673
535,27,673
230,80,672
473,379,671
32,310,670
48,27,670
663,314,670
295,27,670
314,498,669
311,9,667
310,380,667
80,314,667
105,105,666
655,27,664
588,80,664
331,367,664
77,532,663
10,473,663
10,16,663
380,123,662
80,331,662
314,443,662
313,311,661
522,310,661
380,230,661
443,353,661
331,473,660
68,335,660
313,230,659
311,335,659
532,26,658
582,33,657
230,335,657
77,655,656
335,50,656
367,380,655
311,354,655
27,242,655
27,196,654
224,230,654
473,32,653
367,80,653
33,105,652
379,380,651
311,123,650
80,16,649
582,393,649
236,655,649
105,532,647
311,397,647
224,123,647
380,596,646
514,243,646
9,302,646
498,27,644
32,131,643
562,158,643
335,11,641
68,473,639
588,335,638
479,27,638
68,380,638
224,310,638
27,398,637
224,473,637
353,26,637
123,473,636
596,105,636
586,27,636
582,475,634
280,353,634
335,471,634
473,95,634
16,158,634
77,26,633
331,302,632
335,84,630
105,638,629
105,50,629
56,27,629
3,80,629
224,379,628
3,582,628
380,353,627
473,10,627
295,314,627
311,393,626
27,130,626
314,479,623
32,123,623
313,123,622
522,379,620
314,588,620
6,473,619
105,243,619
3,335,619
236,224,618
394,27,618
6,105,617
314,394,617
314,50,616
20,348,616
32,80,615
354,105,615
32,9,614
311,10,614
582,95,614
311,522,613
331,311,612
331,9,612
280,80,612
335,77,612
335,596,611
27,274,610
310,80,609
380,609,609
9,397,608
311,302,607
588,33,607
236,394,607
25,353,605
107,314,605
16,224,604
335,6,603
582,6,603
105,586,602
105,529,601
394,80,601
80,473,600
311,32,600
379,314,600
473,331,600
219,27,599
313,6,598
20,204,598
236,331,598
68,230,597
367,314,597
9,367,597
473,471,596
473,348,595
105,31,595
663,582,595
335,131,594
105,663,594
131,224,593
331,394,592
77,398,592
473,3,592
6,32,591
314,674,591
11,80,590
311,230,590
302,34,590
535,314,590
9,588,590
335,348,589
27,708,589
230,16,589
609,80,589
582,68,589
353,105,588
313,354,588
27,34,588
230,331,588
640,27,587
313,68,586
314,655,586
3,380,585
48,314,585
335,236,585
236,310,585
393,105,585
335,107,584
586,80,584
130,105,584
479,224,583
335,558,583
313,475,583
105,609,583
27,385,581
302,80,581
105,295,581
224,655,581
331,84,581
224,331,580
6,582,580
130,32,580
314,313,580
473,6,579
236,367,579
27,640,578
367,582,577
397,380,576
123,314,576
313,689,575
310,473,575
380,236,575
123,582,574
302,224,574
335,250,574
473,311,574
331,123,574
123,224,573
380,586,573
236,280,573
588,522,573
596,397,573
77,471,572
532,443,572
522,123,572
335,655,569
236,314,569
335,31,569
68,80,568
588,32,567
105,26,567
107,582,567
20,196,566
33,80,564
331,77,564
310,224,564
77,588,563
16,582,562
354,380,562
353,16,562
25,27,562
26,16,562
588,331,561
354,582,559
588,16,559
27,501,558
27,30,558
314,11,558
313,95,557
558,314,557
582,582,557
588,230,557
313,367,556
582,397,556
123,105,555
274,158,554
236,16,553
105,280,553
250,380,552
20,708,552
314,535,552
230,302,551
335,443,551
302,380,551
84,105,550
10,32,550
380,354,550
380,250,549
68,16,549
348,32,549
280,529,548
535,80,547
77,33,546
313,314,546
32,335,546
224,498,546
224,9,546
310,105,546
314,107,546
473,68,545
27,121,545
32,347,545
314,236,545
236,582,544
393,380,543
353,443,543
588,9,542
314,596,542
130,224,542
473,33,542
663,224,541
68,33,541
582,443,540
230,10,540
280,243,539
443,655,538
20,31,537
236,514,537
529,353,536
105,347,536
27,475,535
588,10,535
224,32,534
313,3,534
473,347,534
314,586,534
16,310,534
77,141,534
230,379,533
588,95,533
107,16,533
107,367,532
380,380,532
443,380,531
105,307,531
314,84,530
588,314,529
107,310,529
353,314,528
105,158,528
27,56,528
107,609,528
27,508,528
443,80,528
105,398,528
522,230,528
674,80,527
331,68,527
582,31,526
27,64,526
84,353,526
80,609,526
380,11,525
331,353,525
77,48,525
80,84,524
335,427,524
609,380,524
522,9,523
673,27,523
33,310,523
582,48,523
32,558,523
27,167,522
314,204,522
77,558,522
80,310,521
77,404,521
353,498,521
353,529,520
33,224,519
27,479,519
9,522,518
107,397,518
663,105,517
522,16,516
250,27,516
27,404,516
32,348,516
77,614,515
26,380,515
335,280,514
9,33,514
236,498,514
379,582,514
354,314,513
34,27,513
107,224,512
353,25,512
4,105,512
471,582,512
123,16,511
107,335,510
473,522,510
32,230,510
68,9,509
331,354,509
20,6,509
475,314,508
123,331,508
498,158,507
107,393,507
80,9,506
311,310,506
68,224,505
314,427,505
80,311,505
311,353,505
331,379,505
105,348,504
230,33,504
529,80,503
84,397,503
532,158,502
77,32,502
335,663,502
473,354,502
27,543,500
335,26,500
236,84,499
532,498,499
10,310,498
10,335,497
16,9,497
26,105,496
80,528,496
522,224,496
6,80,495
313,48,495
26,314,495
9,313,495
9,95,495
33,335,494
354,310,494
77,95,494
9,498,494
27,427,493
302,230,493
588,475,493
224,353,492
335,114,492
596,331,492
314,723,492
27,20,492
331,334,491
353,158,491
314,14,490
394,380,490
68,331,490
9,379,490
280,16,489
596,353,489
230,68,489
77,313,489
33,123,488
311,33,488
77,3,488
331,10,487
331,236,487
558,224,487
443,105,487
9,471,487
313,353,486
473,15,486
393,27,485
26,498,485
20,15,485
130,310,485
105,479,485
77,68,485
11,380,484
107,394,484
582,219,484
313,31,484
302,310,484
582,498,483
314,280,483
224,558,482
354,80,482
335,354,482
84,443,482
380,443,482
514,27,482
313,97,481
77,6,481
532,380,481
588,302,481
311,219,480
9,443,480
32,219,480
522,335,479
522,311,479
48,582,479
3,224,479
68,204,479
236,393,478
27,439,478
156,27,478
588,123,477
522,77,477
588,68,477
84,331,476
80,230,476
335,586,476
614,80,476
236,379,476
77,131,476
310,302,475
393,80,475
353,224,474
335,479,474
107,77,474
380,302,474
80,397,474
588,582,474
230,32,473
32,380,472
663,16,472
588,6,472
68,123,472
582,230,471
331,11,470
311,313,470
224,224,470
314,34,469
398,27,469
335,609,469
20,14,469
236,353,468
522,32,468
582,313,468
30,20,468
16,230,468
80,353,467
582,131,467
314,26,467
522,331,466
80,522,466
582,3,465
397,331,465
380,243,464
663,380,464
479,105,464
582,558,464
130,380,464
314,114,463
80,236,463
68,723,462
27,54,462
105,404,462
250,80,462
77,663,462
353,84,462
236,335,462
32,20,462
50,27,462
314,640,461
9,48,461
105,497,461
535,582,460
48,471,460
331,443,460
224,302,460
33,230,459
314,121,459
311,379,459
80,394,459
280,224,458
130,68,458
9,311,458
311,68,458
311,588,458
311,107,457
130,80,456
77,80,456
393,331,455
33,16,455
123,80,454
380,522,454
230,471,454
15,27,454
10,230,453
30,27,453
10,331,453
379,224,453
16,353,452
335,295,452
27,632,452
15,20,452
32,354,452
105,141,451
3,16,451
380,107,451
9,68,451
10,353,451
522,558,451
596,314,451
609,27,450
314,609,450
588,354,449
26,26,448
348,335,448
105,145,448
367,311,448
123,33,448
3,331,448
588,367,448
663,80,447
130,314,447
532,280,447
11,27,447
335,535,447
596,393,447
331,609,446
313,393,446
243,27,446
310,16,446
532,105,446
380,219,446
80,613,445
68,311,445
582,663,444
3,9,444
532,25,444
535,105,444
230,588,444
230,9,444
588,311,444
84,77,443
280,443,443
224,131,443
532,529,443
463,27,442
230,354,442
123,335,442
582,77,441
314,529,441
224,311,441
80,393,441
588,97,441
582,394,440
280,380,440
9,394,440
236,26,440
3,310,439
6,310,439
68,379,439
196,314,439
219,224,439
3,313,437
26,443,437
313,219,437
588,379,437
280,219,437
80,379,436
335,328,436
314,532,436
224,219,436
535,224,436
32,6,436
655,158,436
27,552,435
280,105,434
9,123,434
26,224,434
9,393,434
224,335,434
367,331,433
9,663,433
105,427,433
10,379,433
224,158,433
68,334,433
562,310,433
354,9,432
32,145,432
80,443,432
274,27,432
224,68,432
95,27,432
77,265,432
9,219,431
335,15,431
9,6,431
6,335,430
224,243,429
236,77,429
471,314,429
314,243,429
367,335,429
9,655,428
250,397,428
105,15,428
367,9,427
10,123,427
107,353,427
582,689,427
107,9,427
9,230,427
314,250,427
582,348,426
463,314,426
529,243,426
443,16,426
397,367,426
224,522,426
497,27,426
295,473,425
532,353,425
501,158,425
230,522,424
335,243,424
77,264,423
331,107,423
443,84,423
68,354,423
331,32,423
543,27,423
331,331,423
27,502,422
105,674,422
380,404,422
84,529,422
473,367,422
9,10,422
77,535,421
230,95,421
522,219,421
314,497,421
32,33,420
394,105,420
380,334,420
236,354,419
328,27,419
331,522,419
265,27,419
26,25,418
313,348,418
6,31,418
479,80,418
68,15,417
397,314,417
95,314,417
32,31,417
302,16,417
33,9,417
582,588,416
314,158,416
380,77,416
80,367,415
84,16,415
311,131,415
582,307,415
48,380,415
107,84,415
107,311,415
105,535,415
196,27,415
230,367,414
27,544,414
302,32,414
105,97,414
473,689,414
6,204,414
26,532,413
16,10,413
105,689,413
310,354,413
158,224,413
532,224,413
479,302,412
582,655,412
9,31,412
353,280,412
307,27,412
674,314,412
123,353,412
311,77,412
522,588,411
32,522,411
586,380,411
314,2,411
33,31,410
479,310,410
335,398,410
582,674,410
655,353,410
596,354,410
473,131,410
335,54,409
9,131,409
501,80,409
56,105,409
302,331,408
33,479,408
314,141,408
95,582,408
27,560,407
77,497,407
16,655,407
614,224,407
224,33,407
80,11,407
310,230,407
463,224,407
105,463,407
314,5,406
479,33,406
77,463,406
130,335,406
313,394,405
84,224,405
532,16,405
130,582,405
9,638,404
68,295,404
638,314,404
6,123,404
498,80,404
558,16,404
10,354,404
9,84,404
582,295,404
311,394,404
68,302,403
498,353,403
16,473,403
479,380,403
582,479,403
307,314,402
77,31,402
614,158,402
552,27,402
310,331,402
331,586,402
236,334,401
236,9,401
335,532,401
353,331,401
77,295,401
10,302,401
10,33,401
558,105,401
130,9,401
397,394,401
158,27,400
26,655,400
313,50,400
475,582,400
414,380,400
77,348,400
313,397,400
32,353,400
16,379,400
107,473,400
582,97,399
25,158,399
302,123,399
27,605,399
558,80,398
16,77,398
638,27,398
663,9,398
380,131,398
367,393,397
380,588,397
380,48,397
674,219,397
331,33,397
522,302,397
311,48,396
16,331,396
380,498,396
84,582,396
280,314,396
311,3,396
33,313,396
380,68,396
331,131,395
295,582,395
353,582,395
398,80,395
84,314,395
596,394,394
224,77,394
6,14,394
367,379,394
33,380,394
331,250,394
230,393,393
311,95,393
596,77,393
48,105,393
3,471,393
107,123,392
674,105,392
588,31,392
130,10,392
3,311,391
582,334,391
68,353,391
443,394,391
250,367,391
335,689,391
313,295,390
130,353,390
32,311,390
68,131,390
310,32,390
314,614,390
348,380,390
32,95,390
105,385,390
311,471,390
335,196,390
48,310,390
236,311,390
68,219,389
107,596,389
558,158,389
236,131,389
16,558,388
105,723,388
473,558,388
32,379,388
32,14,388
97,314,388
331,313,388
77,25,387
105,196,387
479,230,387
77,385,386
9,310,386
280,498,386
302,379,386
6,380,386
479,31,386
314,632,386
498,224,385
2,314,385
56,582,385
310,335,385
663,473,385
310,397,384
532,314,384
348,314,384
107,331,384
443,498,384
9,307,384
353,219,383
27,414,383
84,393,383
663,310,383
596,224,382
632,27,382
105,475,382
10,9,382
663,230,382
379,310,381
331,588,381
314,64,381
397,354,381
68,95,381
588,295,381
393,379,381
27,117,380
9,558,380
311,6,380
335,307,380
663,32,380
84,367,379
380,280,379
397,353,379
33,32,379
27,156,378
9,9,378
532,219,378
354,331,378
640,314,378
302,335,378
130,158,378
397,335,378
84,107,377
131,314,377
9,723,377
335,158,377
314,30,377
32,158,376
3,123,376
311,11,376
9,3,376
33,302,376
498,16,376
196,20,376
331,48,376
219,380,375
353,77,375
26,280,375
379,16,375
367,310,375
353,394,375
16,335,374
123,219,374
68,558,374
535,331,374
105,264,374
10,311,374
640,68,373
353,397,373
9,532,373
230,310,373
32,204,373
11,105,373
335,674,373
562,224,373
3,354,372
311,443,372
224,529,372
105,414,372
443,26,371
522,10,371
68,367,371
596,107,371
80,243,371
596,16,371
123,354,371
230,170,371
236,230,370
311,558,370
479,9,369
105,242,369
522,313,369
582,50,369
379,397,369
32,334,369
230,123,369
6,16,369
689,314,369
224,95,368
522,131,368
32,331,368
48,224,367
443,397,367
230,689,367
77,242,367
348,105,367
16,311,367
311,663,367
230,311,367
156,158,366
502,27,366
328,380,366
26,84,366
250,105,366
250,609,366
310,68,366
367,397,365
582,236,365
379,331,365
529,26,364
33,347,364
673,314,364
582,347,363
77,50,363
219,80,363
236,596,363
80,219,363
689,27,363
335,145,363
393,582,363
380,471,363
393,335,362
171,27,362
3,230,362
3,302,362
274,353,362
353,264,362
68,10,362
230,353,362
68,31,362
311,498,361
77,158,361
331,596,361
68,20,361
105,614,361
32,663,361
9,295,361
596,367,360
311,50,360
479,10,360
335,497,360
130,33,360
558,32,359
348,310,359
379,80,359
310,123,359
3,10,359
32,313,358
9,26,358
443,532,358
348,224,358
302,10,358
314,130,358
123,310,357
348,689,357
295,105,357
107,354,357
6,9,357
107,230,357
558,473,356
10,68,356
582,26,355
674,310,355
274,80,355
582,638,355
10,131,355
230,397,354
310,367,354
105,4,354
596,310,354
10,219,354
114,27,353
26,529,353
596,335,353
311,596,353
107,586,353
443,314,353
582,84,353
588,3,353
27,682,353
588,663,353
68,14,353
335,463,353
32,471,353
473,77,353
588,348,353
348,33,352
80,655,352
596,68,352
674,582,352
443,529,351
498,655,351
280,532,351
348,204,351
130,230,351
532,84,350
475,27,350
663,335,350
105,439,350
348,16,350
224,31,350
80,302,350
398,105,349
367,334,349
348,6,349
582,723,349
9,596,349
414,105,349
48,80,349
230,347,349
131,582,349
68,397,349
230,313,348
380,529,348
105,130,348
107,379,348
398,380,348
30,314,348
311,84,348
230,31,348
123,522,348
80,80,347
313,15,347
295,16,346
33,68,346
479,475,346
302,33,346
473,295,346
107,280,346
335,529,345
26,219,345
443,224,345
596,582,345
331,398,345
130,331,345
80,335,344
10,367,344
673,80,344
9,280,344
310,10,343
236,10,343
393,314,343
131,32,343
48,9,343
77,514,343
280,26,342
331,498,342
243,80,341
313,443,341
9,497,341
68,145,341
586,353,341
673,582,340
105,528,340
498,314,340
9,15,340
230,219,340
56,314,340
20,32,340
130,16,340
145,314,339
236,443,339
311,236,339
331,219,339
673,473,339
48,230,339
311,250,339
31,314,338
473,219,338
473,50,338
3,379,338
596,609,338
77,479,338
123,397,338
20,27,338
331,3,338
10,95,337
335,475,337
380,33,337
310,379,337
313,663,337
9,243,336
588,50,336
335,414,336
224,443,336
313,77,336
97,582,336
158,16,336
674,10,336
77,114,336
80,529,336
224,280,336
353,310,335
224,48,335
314,708,335
348,582,335
32,10,335
535,10,335
16,32,335
638,582,334
105,501,334
335,404,334
313,307,334
15,314,334
313,463,334
295,80,334
348,15,334
236,219,334
596,379,334
4,582,333
473,34,333
107,236,333
16,68,333
353,9,333
640,20,333
514,80,333
9,475,333
302,9,333
158,219,333
16,522,333
367,16,332
68,313,332
473,638,332
331,471,332
588,558,332
77,414,332
498,105,332
80,471,332
224,588,332
529,84,332
473,475,332
473,204,331
379,353,331
473,196,331
230,443,331
397,596,331
522,33,331
397,84,331
250,394,331
84,250,331
80,123,330
353,230,330
393,367,330
479,335,330
68,689,330
331,532,330
380,313,329
379,230,329
31,27,329
314,328,329
16,123,329
11,582,329
68,471,329
236,250,329
596,529,329
10,443,329
33,6,329
335,638,329
501,582,329
131,105,329
77,347,328
145,32,328
310,353,328
313,498,328
532,131,328
582,196,328
582,535,328
479,32,328
105,204,328
380,85,328
380,32,328
586,105,327
335,97,327
582,596,327
32,463,327
311,532,327
224,497,327
33,588,327
105,14,327
596,11,327
107,334,326
379,105,326
236,32,326
311,689,326
224,16,326
123,302,326
582,280,326
27,364,326
353,164,326
20,632,325
674,380,325
443,331,325
335,335,325
26,582,325
522,68,324
348,475,324
532,310,324
582,11,324
313,596,324
367,123,324
331,529,324
9,674,324
10,588,323
9,334,323
123,230,323
3,479,323
280,582,323
473,84,323
27,528,323
10,397,322
11,379,322
20,30,322
663,302,322
20,68,322
609,105,321
379,473,321
353,10,321
224,11,321
95,473,321
443,280,321
6,302,320
77,501,320
243,655,320
9,236,320
313,532,320
26,394,320
84,243,320
663,68,320
380,26,320
6,230,319
605,27,319
224,663,319
302,311,319
558,380,319
123,3,319
473,5,319
280,655,319
250,582,319
588,48,319
131,380,319
397,250,319
582,107,319
380,558,318
379,367,318
105,56,318
84,9,318
6,33,318
311,31,318
311,404,318
84,379,318
582,609,318
479,123,317
582,30,317
328,582,317
26,264,317
348,558,317
280,331,317
3,48,317
80,250,317
532,586,317
479,95,316
224,313,316
397,77,316
302,522,315
68,522,315
33,354,315
130,379,315
68,588,315
638,224,315
596,250,314
663,123,314
674,224,314
12,380,314
77,307,314
204,68,314
6,29,314
313,347,314
335,385,314
77,15,314
107,10,314
310,588,314
522,48,314
84,609,313
6,354,313
367,230,313
582,250,312
532,264,312
532,242,312
532,397,311
250,331,311
582,145,311
107,443,311
16,498,311
33,15,311
532,394,311
9,11,310
25,26,310
335,614,310
354,367,310
310,313,310
473,463,310
529,655,310
532,265,309
33,10,309
313,558,309
311,280,309
380,655,309
236,522,309
673,105,309
84,236,309
473,97,309
394,314,309
582,532,309
586,394,309
84,398,308
56,380,308
379,9,308
311,307,308
314,544,308
331,243,308
16,131,308
473,427,308
9,50,308
27,714,308
9,689,308
10,313,308
34,224,308
230,655,308
498,582,308
331,558,307
230,558,307
145,224,307
353,353,307
354,224,307
397,582,307
314,543,307
12,80,307
522,243,307
230,498,307
6,708,307
473,708,306
535,613,306
27,328,306
302,471,306
219,158,306
204,20,306
280,25,306
393,397,306
443,367,306
708,20,305
295,68,305
380,398,305
354,397,304
348,68,304
674,379,304
68,663,304
33,334,304
535,473,304
48,16,304
77,613,304
84,11,304
9,348,303
632,314,303
443,158,303
236,123,303
529,394,303
663,558,303
295,123,303
311,586,303
123,32,303
582,15,303
80,498,303
310,33,302
295,224,302
498,380,302
314,398,302
10,522,302
348,230,302
34,473,301
80,586,301
353,131,301
655,16,301
331,280,301
32,588,301
9,586,301
10,77,301
588,219,300
27,517,300
95,105,300
32,638,300
31,473,300
379,335,300
48,475,300
313,131,300
68,84,300
105,328,300
367,354,300
193,708,299
313,196,299
404,27,299
473,14,299
107,588,299
414,394,299
3,367,299
6,6,299
335,56,298
313,84,298
314,439,298
77,475,298
230,48,298
9,264,298
313,236,298
6,379,298
588,307,298
393,9,297
16,84,297
479,48,297
236,473,297
414,27,297
522,353,297
32,3,297
84,404,297
367,224,297
4,380,297
394,331,297
535,379,297
558,582,297
609,77,296
77,97,296
335,723,296
32,307,296
105,265,296
32,479,296
25,280,296
84,10,295
558,131,295
558,68,295
394,367,295
397,393,295
80,107,295
596,443,295
9,97,295
313,674,295
33,311,295
105,682,295
479,588,295
475,473,294
10,498,294
230,562,294
544,224,294
80,596,294
68,347,294
582,243,294
48,95,293
314,54,293
596,655,293
313,638,293
674,16,293
219,314,293
10,471,293
348,95,293
479,16,293
535,310,292
609,331,292
68,64,292
84,586,292
582,427,292
562,131,292
230,394,292
473,663,291
230,131,291
532,77,291
107,243,291
354,473,291
353,586,291
33,348,291
354,123,290
6,224,290
224,354,290
16,280,290
33,522,290
562,16,290
10,558,290
27,126,290
331,307,290
501,16,290
380,3,290
335,141,290
4,335,290
48,302,289
12,353,289
479,68,289
479,97,289
33,131,289
532,9,289
219,353,289
224,463,289
582,497,288
380,532,288
4,331,288
473,394,288
219,105,288
588,393,288
354,10,288
311,479,288
15,473,287
6,479,287
353,123,287
314,562,287
596,398,287
48,335,287
193,204,287
498,26,287
236,107,287
224,26,287
335,640,287
123,311,287
313,334,287
84,26,287
588,347,287
105,514,286
443,9,286
204,32,286
156,224,286
414,331,286
80,131,286
6,313,286
1,473,286
131,80,286
280,514,286
310,131,286
123,48,286
640,473,286
219,582,286
230,77,286
11,224,286
532,32,286
131,16,286
353,497,286
230,250,286
379,302,286
236,398,285
535,77,285
471,27,285
498,529,285
596,311,285
479,6,285
354,393,285
48,522,285
32,196,285
9,14,285
20,347,285
353,11,285
236,558,284
414,80,284
501,314,284
347,27,284
379,354,284
348,708,284
33,471,284
10,334,284
335,170,284
26,331,283
328,335,283
479,522,283
3,95,283
123,471,283
80,48,283
105,54,283
354,230,283
582,463,282
544,27,282
107,302,282
313,588,282
311,427,282
224,394,282
224,367,282
404,80,282
367,11,281
68,50,281
663,379,281
302,588,281
77,117,281
77,674,281
522,334,281
274,224,281
77,130,281
3,33,281
596,334,281
609,250,281
582,586,281
522,354,281
443,582,281
280,265,280
131,158,280
77,638,280
230,107,280
26,397,280
614,582,280
383,27,280
479,471,280
443,379,280
26,77,279
107,219,279
123,379,279
353,596,279
674,335,279
328,393,279
535,230,279
77,145,278
663,311,278
473,145,278
558,219,278
353,265,278
311,655,278
33,558,277
394,582,277
280,131,277
535,9,277
311,638,277
77,689,277
123,50,277
25,655,277
353,367,277
473,30,277
353,514,277
353,393,277
632,20,277
314,517,277
328,397,277
130,397,277
367,394,276
107,131,276
130,334,276
394,353,276
15,68,276
331,404,276
130,302,276
1,314,275
280,335,275
380,141,275
393,394,275
48,331,275
32,15,275
230,236,275
348,14,275
522,471,275
313,107,274
310,48,274
562,219,274
10,243,274
314,1,274
56,331,274
663,313,274
313,243,274
479,558,274
314,385,274
